country_name_ltn,gender,fintight,pct_in_gap,pct_not_in_gap,pct_0_barriers,pct_1_barrier,pct_2_barrier,pct_3_barriers,pct_4_barriers,pct_solution_barrier_barrier_1,pct_solution_barrier_barrier_2,pct_solution_barrier_barrier_3,pct_dcf_barrier_barrier_1,pct_dcf_barrier_barrier_2,pct_dcf_barrier_barrier_3,pct_info_barrier_barrier_1,pct_info_barrier_barrier_2,pct_info_barrier_barrier_3,pct_representation_barrier_barrier_1,pct_representation_barrier_barrier_2,pct_representation_barrier_barrier_3
Czechia,Male,0,74.09470752089136,25.90529247910863,4.081632653061225,36.734693877551024,40.816326530612244,16.3265306122449,2.0408163265306123,11.11111111111111,15,75,5.555555555555555,25,75,72.22222222222221,100,100,11.11111111111111,60,50
Czechia,Male,1,77.07006369426752,22.929936305732486,0,16,44,36,4,50,9.090909090909092,66.66666666666666,25,27.27272727272727,100,25,100,100,0,63.63636363636363,33.33333333333333
Denmark,Female,0,65.35433070866141,34.645669291338585,8.823529411764707,35.294117647058826,29.411764705882355,23.52941176470588,2.941176470588235,16.666666666666664,30,100,16.666666666666664,60,62.5,66.66666666666666,70,100,0,40,37.5
Denmark,Female,1,64.85355648535564,35.146443514644346,0,24.137931034482758,44.827586206896555,24.137931034482758,6.896551724137931,0,15.384615384615385,85.71428571428571,14.285714285714285,30.76923076923077,85.71428571428571,42.857142857142854,100,85.71428571428571,42.857142857142854,53.84615384615385,42.857142857142854
Denmark,Male,0,67.38197424892704,32.61802575107296,20,37.142857142857146,22.857142857142858,17.142857142857142,2.857142857142857,7.6923076923076925,25,83.33333333333334,0,37.5,100,61.53846153846154,87.5,100,30.76923076923077,50,16.666666666666664
Denmark,Male,1,60.51282051282051,39.48717948717949,9.523809523809524,23.809523809523807,19.047619047619047,38.095238095238095,9.523809523809524,0,0,50,20,50,100,60,100,100,20,50,50
Estonia,Female,0,79.87012987012987,20.12987012987013,7.6923076923076925,26.923076923076923,50,15.384615384615385,0,0,7.6923076923076925,50,0,53.84615384615385,100,100,100,75,0,38.46153846153847,75
Estonia,Female,1,73.77049180327869,26.229508196721312,5.88235294117647,29.411764705882355,58.82352941176471,0,5.88235294117647,0,30,NA,0,30,NA,100,90,NA,0,50,NA
Estonia,Male,0,76.64233576642336,23.357664233576642,15.384615384615385,23.076923076923077,34.61538461538461,26.923076923076923,0,0,22.22222222222222,100,0,44.44444444444444,71.42857142857143,66.66666666666666,88.88888888888889,100,33.33333333333333,44.44444444444444,28.57142857142857
Estonia,Male,1,67.90123456790124,32.098765432098766,0,20,40,40,0,0,50,100,0,50,50,100,100,100,0,0,50
Finland,Female,0,72.46376811594203,27.536231884057973,0,39.39393939393939,36.36363636363637,18.181818181818183,6.0606060606060606,0,8.333333333333332,83.33333333333334,23.076923076923077,50,100,61.53846153846154,100,100,15.384615384615385,41.66666666666667,16.666666666666664
Finland,Female,1,74.4186046511628,25.581395348837212,13.157894736842104,19.736842105263158,36.84210526315789,26.31578947368421,3.9473684210526314,0,17.857142857142858,70,20,53.57142857142857,95,73.33333333333333,89.28571428571429,95,6.666666666666667,39.285714285714285,40
